Dataset,Time(s) - BF,Sol.Quality - BF,Full Tour - BF,RelError - BF,Time(s) - Approx,Sol.Quality - Approx ,RelError - Approx,Time(s) - LS,Sol.Quality - LS 
Atlanta.tsp,5,3816910,Yes,1.8711205320245148,0.1231379508972168,2380448,1.1669400452765961,5,2039906.0
Champaign.tsp,5,218823,Yes,3.7449812599476306,0.1425929069519043,65712,1.1246085126046106,5,58431.0
NYC.tsp,5,7244933,Yes,4.345428471006818,0.11635804176330566,2027107,1.2158357394854054,5,1667254.0
SanFrancisco.tsp,5,5616045,Yes,6.667578860762575,0.12055778503417969,1134989,1.3475014291370624,5,842291.5
UMissouri.tsp,5,668983,Yes,4.499270279177063,0.1543738842010498,178249,1.1988203407157316,5,148687.0
Berlin.tsp,5,19728,Yes,2.4256731833271856,0.1203000545501709,10402,1.2789868437231033,5,8133.0
Cincinnati.tsp,5,277952,Yes,0.9827341273404955,0.19616174697875977,301216,1.064986914650712,5,282835.4
Philadelphia.tsp,5,3710782,Yes,2.3360171934922582,0.15295076370239258,1646249,1.0363492031516366,5,1588508.0
Toronto.tsp,5,9219353,Yes,7.547017040919655,0.10918402671813965,1675108,1.3712533429819687,5,1221589.0
Boston.tsp,5,2246134,Yes,2.2931738757124904,0.14048504829406738,1150963,1.1750671524992164,5,979487.0
Denver.tsp,5,563620,Yes,5.027159612897472,0.09449338912963867,134748,1.2018730767515498,5,112115.0
Roanoke.tsp,5,6861290,Yes,8.90586222651423,0.17900800704956055,838282,1.08807877220855,5,770424.0
UKansasState.tsp,5,62962,Yes,1.0,0.16944408416748047,68090,1.0814459515263175,5,62962.0
